file,psnr,ssim,method
000072.png,27.93182996056587,0.92002374,unsharp_mask
000075.png,22.252554424989142,0.6590421,wiener
000075.png,27.806176396535808,0.9169918,unsharp_mask
000076.png,19.482779347256198,0.48798808,wiener
000076.png,26.901218483229748,0.9264853,unsharp_mask
000077.png,21.21277495180091,0.7028702,wiener
000077.png,26.66090014201324,0.8772753,unsharp_mask
000078.png,19.475033345121755,0.48785827,wiener
000078.png,28.095535399212803,0.9410587,unsharp_mask
000079.png,22.890520159727213,0.7076931,wiener
000079.png,27.297511922727168,0.86224383,unsharp_mask
000080.png,24.90115132347565,0.7498546,wiener
000080.png,30.79933481361722,0.9282627,unsharp_mask
000081.png,22.116008288781586,0.61457705,wiener
000081.png,24.189937330310958,0.72265404,unsharp_mask
000083.png,24.55864374102113,0.66774344,wiener
000083.png,30.416270730485508,0.9158716,unsharp_mask
000084.png,19.433870228127997,0.49706897,wiener
000084.png,26.035886228060683,0.9144707,unsharp_mask
000087.png,22.295383720015014,0.64634436,wiener
000087.png,25.51705057046275,0.779718,unsharp_mask
000088.png,19.3940677826747,0.4925113,wiener
000088.png,26.040080580688326,0.914711,unsharp_mask
000090.png,20.23194623366158,0.60085624,wiener
000090.png,23.674012606227002,0.74683195,unsharp_mask
000091.png,20.869906288474528,0.5669917,wiener
000091.png,22.630563381743308,0.6536705,unsharp_mask
000092.png,23.24840389665323,0.5950783,wiener
000092.png,26.941944660096524,0.8171039,unsharp_mask
000093.png,19.39753745468851,0.4911776,wiener
000093.png,26.25092799321001,0.91828585,unsharp_mask
000094.png,23.586356572932527,0.64399546,wiener
000094.png,26.90685285365317,0.7961264,unsharp_mask
000095.png,23.781853584896634,0.65151745,wiener
000095.png,28.24232539735163,0.8770073,unsharp_mask
000096.png,21.469663661017783,0.71749824,wiener
000096.png,27.697542888537953,0.91296357,unsharp_mask
000097.png,25.254504260673443,0.775867,wiener
000097.png,29.46313401908943,0.9313809,unsharp_mask
000098.png,23.707868424110817,0.67578846,wiener
000098.png,28.87038603150306,0.87362534,unsharp_mask
000099.png,25.4746314082295,0.786191,wiener
000099.png,29.9257857244039,0.9390154,unsharp_mask
000100.png,25.393156214273162,0.7821848,wiener
000100.png,29.94697830560837,0.9385071,unsharp_mask
000105.png,26.389217294070292,0.75500363,wiener
000105.png,31.743095221984802,0.92284393,unsharp_mask
000106.png,26.35387666196667,0.75119764,wiener
000106.png,29.838261304252853,0.8864468,unsharp_mask
000116.png,25.50122436005685,0.70142156,wiener
000116.png,28.545937785356873,0.8282775,unsharp_mask
000117.png,25.461389542204216,0.686328,wiener
000117.png,28.97581926897873,0.8236286,unsharp_mask
000122.png,25.670448685215806,0.6667984,wiener
000122.png,28.8920204067836,0.78715533,unsharp_mask
000124.png,26.574801308391134,0.7566888,wiener
000124.png,32.899232361776114,0.9333603,unsharp_mask
000127.png,26.31499832541918,0.7547533,wiener
000127.png,31.520242439637556,0.9228649,unsharp_mask
000128.png,25.76253758223219,0.7071578,wiener
000128.png,30.425918751859427,0.8780071,unsharp_mask
000129.png,24.267840186954423,0.54457396,wiener
000129.png,25.88460101551608,0.61097515,unsharp_mask
000131.png,25.630749996155284,0.7063706,wiener
000131.png,29.242569803506456,0.84193367,unsharp_mask
000139.png,25.367416837329436,0.7086363,wiener
000139.png,29.613902416135556,0.87181836,unsharp_mask
000143.png,25.11338188023816,0.67737454,wiener
000143.png,28.013762967675596,0.80725193,unsharp_mask
000145.png,25.88750250527719,0.73775846,wiener
000145.png,30.743411771056522,0.8994751,unsharp_mask
000146.png,26.369812806455023,0.77348167,wiener
000146.png,32.26964296809322,0.9403617,unsharp_mask
000149.png,24.65125864597632,0.63740677,wiener
000149.png,27.39154062904212,0.76410246,unsharp_mask
000152.png,25.543606879510712,0.7215465,wiener
